A,B,type
mondSP,willG,tunnel
willG,ander1,tunnel
willG,willP,sameBuilding
willP,skyway1,tunnel
skyway1,bleg1,tunnel
bleg1,blegG,sameBuilding
blegG,socG,tunnel
socG,wilsonB,tunnel
socG,andor1,tunnel
andor1,fergB,tunnel
fergB,rarigB,tunnel
blegG,hellerG,tunnel
hellerG,humpG,tunnel
humpG,carlsonLL,tunnel
carlsonLL,carlson2,sameBuilding
carlson2,19ave3,tunnel
carlson2,hanson2,tunnel
