A,B,type
bailey2,baileyDining2,tunnel
baileyDining2,stPaStuCe2,tunnel
stPaStuCe2,stPaStuCeB,sameBuilding
stPaStuCeB,coffeyB,tunnel
stPaStuCeB,ruttanG,tunnel
ruttanG,magrathG,tunnel
magrathG,envSci3,tunnel
