name,navid,apple-place-id,google-place-id
Mondale Hall,mondSP,,
Willey Hall,willG,,
Andersen Library,ander1,,
West Bank Skyway,skyway1,,
Blegen Hall,bleg1,,
Social Sciences,socG,,
Wilson Library,wilsonB,,
Anderson Hall,andor1,,
Ferguson Hall,fergB,,
Rarig Center,rarigB,,
Heller Hall,hellerG,,
Humphrey School of Public Affairs,humpG,,
Carlson School of Management,carlson2,,
Hanson Hall,hanson2,,
19th Ave Ramp,19ave3,,
